ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Profesion_Adminin/Servicios,Profesion_Arte,Profesion_Empresa/Finanzas,Profesion_Otros,Profesion_Salud,Profesion_Tecnico/Ing,Zona_Centro,Zona_Este,Zona_Islas,Zona_Norte,Zona_Sur,Campanna_0,Campanna_1,Campanna_3,Campanna_4,Campanna_5,cluster,PC1,PC2
CLI10,0,1,67,1,2,0,3,1,93442,1385,2,1,195,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,-1.7352160569311859,-0.7603486860583379
CLI100,1,1,64,1,2,1,2,1,99774,1052,1,1,360,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,-1.9406884734004382,-0.11165876733962583
CLI1000,1,1,65,1,2,1,3,1,36756,1717,0,0,407,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,-0.5767470553723454,0.7756005875656793
CLI10000,1,0,33,0,1,0,4,2,24616,1606,0,0,544,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1.8888344965948298,0.14580057092025636
CLI10001,1,1,52,0,2,1,2,1,29834,1346,0,1,170,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.41010528613773356,0.44774219640378443
CLI10002,1,1,76,0,2,0,1,1,88523,158,3,0,358,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,-2.9332668488146014,-1.7231105172391668
CLI10003,1,1,45,1,2,0,5,1,112808,939,0,0,442,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-0.6563158944695036,0.5733477916009355
CLI10004,1,1,36,0,1,0,6,2,18885,824,0,0,124,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1.8277617764934593,1.3945447387752492
CLI10005,1,0,30,1,0,0,5,2,21358,1675,0,0,70,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.726792596496935,0.7026903457703426
CLI10006,1,1,42,1,2,0,2,2,46283,1008,1,0,403,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0.0859506152421941,-0.9030752084904262
CLI10007,1,1,39,1,1,1,4,2,27934,1077,0,0,596,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1.1755787046961172,1.0786622436899826
