,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Zona_Centro,Zona_Este,Zona_Norte,Zona_Sur,Profesion_Administración/Servicios,Profesion_Arte,Profesion_Empresa/Finanzas,Profesion_Otros,Profesion_Salud,Profesion_Tecnico/Ing,Campanna_anno_0.0,Campanna_anno_1.0,Campanna_anno_3.0,Campanna_anno_4.0,Campanna_anno_5.0
0,0,1,67,1,2.0,0.0,3,1.0,93442,1385,80,1,195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,1,1,64,1,2.0,1.0,2,1.0,99774,1052,50,1,360,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1,65,1,2.0,1.0,3,1.0,36756,1717,30,0,407,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1,0,33,0,1.0,0.0,4,2.0,24616,1606,30,0,544,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1,1,52,0,2.0,1.0,2,1.0,29834,1346,30,1,170,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1,1,76,0,2.0,0.0,1,1.0,88523,158,120,0,358,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1,1,45,1,2.0,0.0,5,1.0,112808,939,30,0,442,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,1,1,36,0,1.0,0.0,6,2.0,18885,824,30,0,124,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1,0,30,1,0.0,0.0,5,2.0,21358,1675,30,0,70,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,1,1,42,1,2.0,0.0,2,2.0,46283,1008,50,0,403,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,1,1,39,1,1.0,1.0,4,2.0,27934,1077,30,0,596,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,1,1,30,1,0.0,0.0,2,2.0,29611,1123,30,0,439,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0,1,56,1,2.0,0.0,1,1.0,23165,661,30,0,269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,1,1,54,1,2.0,0.0,1,1.0,31813,1013,30,0,124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,0,1,57,1,2.0,0.0,1,1.0,65881,857,50,0,100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15,1,0,58,1,2.0,0.0,1,1.0,98016,583,50,1,111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,1,1,47,1,2.0,1.0,2,1.0,118920,622,50,1,299,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,1,1,46,1,2.0,0.0,2,1.0,110986,1033,50,1,353,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1,0,40,1,1.0,0.0,1,2.0,118745,985,50,0,594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19,1,0,40,1,1.0,0.0,2,2.0,28101,1537,30,0,213,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0,0,44,1,2.0,0.0,1,1.0,41542,847,50,0,481,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,1,1,52,1,2.0,1.0,3,1.0,86337,1717,80,0,315,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,1,0,33,0,1.0,0.0,2,2.0,23343,1307,30,0,363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0,1,58,1,2.0,0.0,1,1.0,120481,1737,50,0,336,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0,0,56,1,2.0,0.0,1,1.0,33444,1209,30,0,407,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,1,1,50,1,2.0,1.0,2,1.0,63085,994,50,0,58,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,1,0,36,1,1.0,0.0,5,2.0,18101,686,30,0,51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,0,0,44,1,2.0,0.0,2,1.0,44724,732,50,0,447,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,0,1,40,1,1.0,0.0,1,2.0,56314,156,50,0,463,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,1,0,35,0,1.0,0.0,4,2.0,25008,1974,30,0,316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30,0,1,56,1,2.0,0.0,2,1.0,22001,1756,30,0,580,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,0,0,54,1,2.0,0.0,1,1.0,21769,642,30,0,493,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,1,1,89,0,2.0,0.0,1,0.0,118924,1267,120,1,378,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,1,1,79,1,2.0,1.0,4,0.0,90739,74,80,0,129,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,0,0,77,1,2.0,0.0,2,1.0,123905,798,50,0,114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,1,0,44,1,2.0,0.0,2,1.0,117230,1307,50,1,124,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,1,0,23,0,0.0,0.0,3,3.0,15394,2202,30,1,304,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,1,0,23,0,0.0,0.0,5,3.0,22448,1719,30,1,382,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,0,1,45,0,2.0,1.0,4,1.0,86899,1123,30,0,542,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,0,0,54,0,2.0,0.0,1,1.0,112072,955,120,0,389,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
40,0,0,56,0,2.0,0.0,1,1.0,102706,955,120,0,316,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,1,1,31,0,0.0,1.0,5,2.0,30641,1606,30,0,394,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
